Tipo;Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU;Valor_por_mes;Valor_por_ano;Possui_suite
Apartamento;Tijuca;2;0;0;67;1300.0;357.0;20.0;1657.0;19904.0;Não
Conjunto Comercial/Sala;Recreio dos Bandeirantes;0;1;0;24;1000.0;480.0;150.0;1480.0;17910.0;Não
Apartamento;Tijuca;2;0;0;57;1600.0;567.0;;2167.0;;Não
Apartamento;Leblon;4;2;4;230;12500.0;2700.0;1625.0;15200.0;184025.0;Sim
Loja/Salão;Recreio dos Bandeirantes;0;1;0;33;1700.0;560.0;;2260.0;;Não
Apartamento;Copacabana;2;1;0;68;2900.0;1000.0;170.0;3900.0;46970.0;Não
Apartamento;Campo Grande;3;1;1;165;2000.0;700.0;;2700.0;;Sim
Conjunto Comercial/Sala;Copacabana;0;0;0;52;1750.0;680.0;302.0;2430.0;29462.0;Não
Apartamento;Botafogo;2;0;0;64;2400.0;613.0;;3013.0;;Não
Apartamento;Barra da Tijuca;2;1;1;75;2400.0;1061.0;216.0;3461.0;41748.0;Sim
Casa de Condomínio;Guaratiba;2;2;2;75;1800.0;;;;;Sim
Apartamento;Pechincha;3;1;0;73;1400.0;550.0;78.0;1950.0;23478.0;Não
Apartamento;Méier;2;1;0;79;1500.0;613.0;52.0;2113.0;25408.0;Não
Apartamento;Recreio dos Bandeirantes;3;2;1;194;1900.0;2120.0;319.0;4020.0;48559.0;Sim
Conjunto Comercial/Sala;Recreio dos Bandeirantes;0;1;0;23;950.0;575.0;;1525.0;;Não
Apartamento;Botafogo;2;0;0;60;2200.0;760.0;76.0;2960.0;35596.0;Não
Apartamento;Lagoa;3;2;1;360;17000.0;1400.0;410.0;18400.0;221210.0;Sim
Apartamento;Méier;2;1;0;70;1200.0;521.0;;1721.0;;Não
Casa;Riachuelo;4;0;1;100;1800.0;;40.0;;;Sim
Apartamento;Cosme Velho;2;1;0;85;2400.0;760.0;143.0;3160.0;38063.0;Não
Apartamento;Freguesia (Jacarepaguá);2;1;1;80;1200.0;813.0;92.0;2013.0;24248.0;Sim
Apartamento;Barra da Tijuca;2;2;1;100;5000.0;1500.0;300.0;6500.0;78300.0;Sim
Conjunto Comercial/Sala;Recreio dos Bandeirantes;0;5;0;119;3500.0;3100.0;;6600.0;;Não
Apartamento;Recreio dos Bandeirantes;3;2;3;180;4000.0;475.0;;4475.0;;Sim
Apartamento;Leblon;3;1;1;220;9000.0;3630.0;690.0;12630.0;152250.0;Sim
Apartamento;Ipanema;3;1;1;280;12500.0;2228.0;610.0;14728.0;177346.0;Sim
Apartamento;Ipanema;2;1;0;95;4900.0;1278.0;;6178.0;;Não
Apartamento;Barra da Tijuca;4;3;4;260;8000.0;3100.0;;11100.0;;Sim
Apartamento;Copacabana;2;1;0;80;2500.0;646.0;;3146.0;;Não
Apartamento;Barra da Tijuca;3;2;1;168;5500.0;1950.0;510.0;7450.0;89910.0;Sim
Casa;Méier;4;1;1;125;1900.0;;;;;Sim
Apartamento;Copacabana;4;1;0;196;3900.0;1500.0;442.0;5400.0;65242.0;Não
Apartamento;Ipanema;3;1;1;128;5600.0;1650.0;300.0;7250.0;87300.0;Sim
Apartamento;Barra da Tijuca;4;4;4;360;8000.0;3200.0;2000.0;11200.0;136400.0;Sim
Galpão/Depósito/Armazém;São Cristóvão;0;0;0;1400;14900.0;3500.0;;18400.0;;Não
Conjunto Comercial/Sala;Centro;0;0;0;290;15950.0;5800.0;890.0;21750.0;261890.0;Não
Apartamento;Flamengo;2;0;0;76;2000.0;795.0;98.0;2795.0;33638.0;Não
Apartamento;Vila Isabel;2;1;1;70;1700.0;315.0;100.0;2015.0;24280.0;Sim
Apartamento;Irajá;2;1;0;65;1100.0;260.0;;1360.0;;Não
Apartamento;Ipanema;3;1;0;80;3700.0;1150.0;183.0;4850.0;58383.0;Não
Apartamento;Ipanema;3;2;1;320;9500.0;1700.0;380.0;11200.0;134780.0;Sim
Casa Comercial;Botafogo;1;4;0;450;22000.0;;3142.0;;;Não
Apartamento;Méier;2;0;0;60;1000.0;340.0;;1340.0;;Não
Apartamento;Copacabana;2;1;1;70;2200.0;600.0;;2800.0;;Sim
Conjunto Comercial/Sala;Botafogo;0;5;0;272;25000.0;10664.0;;35664.0;;Não
Conjunto Comercial/Sala;Barra da Tijuca;0;1;0;22;1000.0;687.0;47.0;1687.0;20291.0;Não
Conjunto Comercial/Sala;Centro;0;0;0;38;1200.0;460.0;50.0;1660.0;19970.0;Não
Apartamento;Barra da Tijuca;4;2;2;155;5500.0;3000.0;700.0;8500.0;102700.0;Sim
Apartamento;Freguesia (Jacarepaguá);3;2;3;166;2500.0;1600.0;200.0;4100.0;49400.0;Sim
Galpão/Depósito/Armazém;São Cristóvão;0;0;0;310;5000.0;;907.0;;;Não
Conjunto Comercial/Sala;Freguesia (Jacarepaguá);0;0;0;27;500.0;450.0;560.0;950.0;11960.0;Não
Casa de Condomínio;Maria da Graça;3;1;0;78;1200.0;375.0;29.0;1575.0;18929.0;Não
Apartamento;Anil;2;1;0;47;1000.0;400.0;36.0;1400.0;16836.0;Não
Apartamento;Catete;2;0;0;51;2200.0;336.0;;2536.0;;Não
Apartamento;Cachambi;2;1;1;65;1400.0;800.0;126.0;2200.0;26526.0;Sim
Casa de Condomínio;Barra da Tijuca;6;0;4;700;30000.0;2100.0;700.0;32100.0;385900.0;Sim
Conjunto Comercial/Sala;Botafogo;0;0;0;247;25000.0;9200.0;16300.0;34200.0;426700.0;Não
Apartamento;Barra da Tijuca;4;3;4;388;9000.0;4500.0;15000.0;13500.0;177000.0;Sim
Apartamento;Laranjeiras;1;0;0;59;1900.0;580.0;;2480.0;;Não
Apartamento;Santa Teresa;2;1;0;69;2400.0;770.0;122.0;3170.0;38162.0;Não
Apartamento;Recreio dos Bandeirantes;3;1;1;80;2500.0;600.0;;3100.0;;Sim
Casa de Condomínio;Barra da Tijuca;5;9;4;870;28000.0;1650.0;;29650.0;;Sim
Casa Comercial;Tijuca;0;6;0;342;15000.0;;1900.0;;;Não
Conjunto Comercial/Sala;Campo Grande;0;0;0;27;1150.0;480.0;145.0;1630.0;19705.0;Não
Apartamento;Flamengo;3;1;0;170;3600.0;1534.0;415.0;5134.0;62023.0;Não
Apartamento;Praça da Bandeira;2;0;0;50;2000.0;461.0;;2461.0;;Não
Apartamento;Barra da Tijuca;4;3;4;273;13000.0;2726.0;657.0;15726.0;189369.0;Sim
Galpão/Depósito/Armazém;São Cristóvão;0;4;0;1600;14990.0;;3400.0;;;Não
Conjunto Comercial/Sala;Centro;0;0;0;30;700.0;1111.0;79.0;1811.0;21811.0;Não
Apartamento;Barra da Tijuca;2;1;1;80;2800.0;880.0;;3680.0;;Sim
Casa;Rocha;3;2;1;111;1800.0;;180.0;;;Sim
Apartamento;Barra da Tijuca;1;1;1;78;1900.0;1100.0;180.0;3000.0;36180.0;Sim
Conjunto Comercial/Sala;Barra da Tijuca;0;7;0;244;13000.0;6149.0;1347.0;19149.0;231135.0;Não
Apartamento;Gávea;2;1;1;86;3000.0;800.0;205.0;3800.0;45805.0;Sim
Apartamento;Cascadura;2;1;1;60;1200.0;119.0;;1319.0;;Sim
Apartamento;Botafogo;4;2;0;622;15000.0;3545.0;1420.0;18545.0;223960.0;Não
Apartamento;Ipanema;4;2;1;210;16000.0;3200.0;800.0;19200.0;231200.0;Sim
Apartamento;Recreio dos Bandeirantes;3;2;1;214;5000.0;1450.0;;6450.0;;Sim
Loja/Salão;Barra da Tijuca;0;1;0;90;1900.0;2150.0;649.0;4050.0;49249.0;Não
Conjunto Comercial/Sala;Centro;0;0;0;32;1400.0;530.0;140.0;1930.0;23300.0;Não
Conjunto Comercial/Sala;Centro;0;0;0;140;4000.0;2080.0;664.0;6080.0;73624.0;Não
Apartamento;Barra da Tijuca;2;1;1;92;2600.0;;306.0;;;Sim
Apartamento;Tijuca;5;1;0;220;3400.0;1200.0;;4600.0;;Não
Apartamento;Lagoa;2;1;1;95;3800.0;1800.0;300.0;5600.0;67500.0;Sim
Apartamento;Botafogo;1;0;0;36;1400.0;400.0;148.0;1800.0;21748.0;Não
Apartamento;Barra da Tijuca;3;3;3;150;6000.0;2875.0;457.0;8875.0;106957.0;Sim
Prédio Inteiro;Rocha;0;0;0;894;6500.0;;;;;Não
Apartamento;Barra da Tijuca;1;1;0;67;1700.0;880.0;142.0;2580.0;31102.0;Não
Conjunto Comercial/Sala;Centro;0;0;0;47;2800.0;1180.0;975.0;3980.0;48735.0;Não
Apartamento;São Conrado;2;2;2;70;3000.0;750.0;350.0;3750.0;45350.0;Sim
Apartamento;Ipanema;3;2;1;138;5000.0;2500.0;600.0;7500.0;90600.0;Sim
Apartamento;Copacabana;1;0;0;55;1500.0;700.0;;2200.0;;Não
Apartamento;Méier;2;1;1;85;1700.0;840.0;1318.0;2540.0;31798.0;Sim
Apartamento;Gávea;2;1;0;87;3300.0;1100.0;145.0;4400.0;52945.0;Não
Loja/Salão;Centro;0;3;0;1658;80000.0;14100.0;4820.0;94100.0;1134020.0;Não
Quitinete;Copacabana;1;0;0;18;1000.0;530.0;25.0;1530.0;18385.0;Não
Conjunto Comercial/Sala;Centro;0;0;0;597;23880.0;5500.0;23500.0;29380.0;376060.0;Não
Apartamento;Lagoa;4;0;1;180;6300.0;2140.0;;8440.0;;Sim
Apartamento;Olaria;1;1;0;60;860.0;555.0;80.0;1415.0;17060.0;Não
Apartamento;Ipanema;3;1;2;90;8000.0;700.0;;8700.0;;Sim
Apartamento;Recreio dos Bandeirantes;2;1;1;75;1800.0;770.0;;2570.0;;Sim
Conjunto Comercial/Sala;Barra da Tijuca;0;1;0;65;2200.0;1280.0;630.0;3480.0;42390.0;Não
Apartamento;Recreio dos Bandeirantes;2;1;1;70;2000.0;680.0;199.0;2680.0;32359.0;Sim
Apartamento;Tijuca;2;1;1;75;1900.0;598.0;;2498.0;;Sim
Casa de Condomínio;Barra da Tijuca;4;4;4;600;35000.0;1100.0;12800.0;36100.0;446000.0;Sim
Apartamento;Laranjeiras;2;2;1;100;5300.0;1339.0;270.0;6639.0;79938.0;Sim
Conjunto Comercial/Sala;Barra da Tijuca;0;1;0;36;1000.0;;;;;Não
Conjunto Comercial/Sala;Centro;0;0;0;17;1000.0;220.0;;1220.0;;Não
Apartamento;Recreio dos Bandeirantes;2;2;1;100;3200.0;3300.0;549.0;6500.0;78549.0;Sim
Apartamento;Camorim;2;0;2;85;1900.0;1118.0;;3018.0;;Sim
Apartamento;Santa Teresa;1;0;0;47;1350.0;495.0;32.0;1845.0;22172.0;Não
Apartamento;Vila Isabel;2;1;0;62;1600.0;745.0;;2345.0;;Não
Apartamento;Tijuca;3;1;1;90;2000.0;980.0;;2980.0;;Sim
Conjunto Comercial/Sala;Barra da Tijuca;0;4;0;300;30000.0;6665.0;;36665.0;;Não
Apartamento;Ipanema;3;2;1;150;5700.0;1750.0;410.0;7450.0;89810.0;Sim
Apartamento;Jardim Botânico;2;0;1;53;3200.0;730.0;;3930.0;;Sim
Conjunto Comercial/Sala;Centro;0;0;0;240;6000.0;4500.0;;10500.0;;Não
Conjunto Comercial/Sala;Taquara;0;1;0;24;500.0;350.0;100.0;850.0;10300.0;Não
Conjunto Comercial/Sala;Madureira;0;1;0;24;700.0;;;;;Não
Apartamento;Ipanema;3;1;0;130;5000.0;1650.0;252.0;6650.0;80052.0;Não
Apartamento;Barra da Tijuca;1;1;0;69;2000.0;1500.0;290.0;3500.0;42290.0;Não
Conjunto Comercial/Sala;Barra da Tijuca;0;1;0;59;2000.0;1958.0;405.0;3958.0;47901.0;Não
Apartamento;Grajaú;2;1;0;90;1550.0;660.0;;2210.0;;Não
Quitinete;Irajá;1;0;0;30;500.0;;;;;Não
Conjunto Comercial/Sala;Ipanema;0;8;0;415;58100.0;15977.0;3909.0;74077.0;892833.0;Não
Conjunto Comercial/Sala;Recreio dos Bandeirantes;0;1;0;24;800.0;395.0;10.0;1195.0;14350.0;Não
Conjunto Comercial/Sala;Barra da Tijuca;0;1;0;110;5500.0;1450.0;1119.0;6950.0;84519.0;Não
Conjunto Comercial/Sala;Barra da Tijuca;0;1;0;30;3000.0;700.0;;3700.0;;Não
Conjunto Comercial/Sala;Curicica;0;0;0;65;1300.0;;100.0;;;Não
Terreno Padrão;Vila Valqueire;0;4;0;30;3500.0;;;;;Não
Conjunto Comercial/Sala;Centro;0;0;0;596;38000.0;15000.0;;53000.0;;Não
Apartamento;Freguesia (Jacarepaguá);3;1;1;92;1900.0;945.0;157.0;2845.0;34297.0;Sim
Apartamento;Leblon;1;0;0;48;1600.0;526.0;95.0;2126.0;25607.0;Não
Quitinete;Laranjeiras;0;0;0;24;800.0;477.0;25.0;1277.0;15349.0;Não
Casa;Madureira;2;0;0;75;1500.0;;;;;Não
Apartamento;Ipanema;3;1;1;140;7500.0;2900.0;500.0;10400.0;125300.0;Sim
Apartamento;Freguesia (Jacarepaguá);2;1;0;84;1500.0;750.0;20.0;2250.0;27020.0;Não
Apartamento;Maracanã;1;0;0;48;1400.0;300.0;;1700.0;;Não
Galpão/Depósito/Armazém;Anil;0;0;0;100;3500.0;;;;;Não
Conjunto Comercial/Sala;Centro;0;3;0;148;11840.0;2900.0;861.0;14740.0;177741.0;Não
Casa;Abolição;1;0;0;50;1100.0;;18.0;;;Não
Apartamento;Barra da Tijuca;4;3;2;214;6000.0;2100.0;5200.0;8100.0;102400.0;Sim
Conjunto Comercial/Sala;Recreio dos Bandeirantes;0;4;0;80;2000.0;2000.0;1.0;4000.0;48001.0;Não
Apartamento;Ipanema;4;1;4;215;20000.0;2300.0;550.0;22300.0;268150.0;Sim
Apartamento;Barra da Tijuca;3;3;3;245;15000.0;3100.0;4000.0;18100.0;221200.0;Sim
Conjunto Comercial/Sala;Centro;0;0;0;350;15000.0;4350.0;1800.0;19350.0;234000.0;Não
Apartamento;Barra da Tijuca;4;2;2;162;4100.0;1950.0;435.0;6050.0;73035.0;Sim
Galpão/Depósito/Armazém;Taquara;0;4;0;574;21814.0;3432.0;1997.0;25246.0;304949.0;Não
Apartamento;Recreio dos Bandeirantes;2;2;1;81;1500.0;415.0;190.0;1915.0;23170.0;Sim
Apartamento;Recreio dos Bandeirantes;4;2;4;190;3950.0;1290.0;;5240.0;;Sim
Apartamento;Flamengo;3;2;1;170;6000.0;1450.0;563.0;7450.0;89963.0;Sim
Apartamento;Copacabana;3;0;0;140;3900.0;800.0;250.0;4700.0;56650.0;Não
Apartamento;Tijuca;2;0;0;60;1550.0;650.0;90.0;2200.0;26490.0;Não
Apartamento;São Conrado;2;2;2;102;4000.0;2185.0;908.0;6185.0;75128.0;Sim
Apartamento;Ipanema;3;0;3;144;6400.0;608.0;383.0;7008.0;84479.0;Sim
Casa;Senador Camará;2;1;0;60;600.0;;;;;Não
Apartamento;Copacabana;3;1;0;180;3500.0;1410.0;;4910.0;;Não
Apartamento;Lins de Vasconcelos;2;1;0;70;1200.0;570.0;;1770.0;;Não
Apartamento;Campo Grande;2;0;0;60;1000.0;300.0;;1300.0;;Não
Apartamento;Vila Isabel;3;0;1;98;3100.0;;;;;Sim
Conjunto Comercial/Sala;Leblon;0;1;0;30;3000.0;951.0;317.0;3951.0;47729.0;Não
Apartamento;Senador Vasconcelos;1;1;1;50;800.0;180.0;;980.0;;Sim
Apartamento;Barra da Tijuca;1;1;0;71;4500.0;;;;;Não
Apartamento;Ipanema;4;1;1;200;8800.0;2500.0;500.0;11300.0;136100.0;Sim
Apartamento;Leme;2;1;1;82;2600.0;914.0;128.0;3514.0;42296.0;Sim
Quitinete;Botafogo;1;0;0;25;1500.0;360.0;;1860.0;;Não
Casa de Condomínio;Barra da Tijuca;3;6;1;420;6900.0;1042.0;773.0;7942.0;96077.0;Sim
Apartamento;Barra da Tijuca;2;1;1;70;2750.0;1300.0;200.0;4050.0;48800.0;Sim
Apartamento;Barra da Tijuca;4;3;2;240;6000.0;2200.0;;8200.0;;Sim
Apartamento;Leblon;3;3;1;170;8500.0;2252.0;606.0;10752.0;129630.0;Sim
Conjunto Comercial/Sala;Centro;0;0;0;120;2800.0;1903.0;;4703.0;;Não
Conjunto Comercial/Sala;Jardim Botânico;0;0;0;30;1700.0;950.0;;2650.0;;Não
Casa;Recreio dos Bandeirantes;4;4;4;571;10000.0;850.0;;10850.0;;Sim
Conjunto Comercial/Sala;Barra da Tijuca;0;1;0;72;2900.0;2035.0;5950.0;4935.0;65170.0;Não
Apartamento;Copacabana;1;0;0;50;2000.0;900.0;156.0;2900.0;34956.0;Não
Apartamento;Copacabana;4;1;0;120;3500.0;1156.0;138.0;4656.0;56010.0;Não
Apartamento;Méier;3;2;1;126;1800.0;1470.0;172.0;3270.0;39412.0;Sim
Flat;Leblon;1;1;1;45;4500.0;1860.0;120.0;6360.0;76440.0;Sim
Apartamento;Leme;2;0;0;75;2700.0;878.0;;3578.0;;Não
Apartamento;Freguesia (Jacarepaguá);2;1;1;86;1800.0;831.0;;2631.0;;Sim
Apartamento;Santa Teresa;1;0;1;45;2090.0;520.0;95.0;2610.0;31415.0;Sim
Conjunto Comercial/Sala;Centro;0;0;0;270;8700.0;3060.0;1249.0;11760.0;142369.0;Não
Apartamento;Barra da Tijuca;4;2;3;145;4500.0;1900.0;350.0;6400.0;77150.0;Sim
Apartamento;Botafogo;3;1;1;95;4500.0;1140.0;;5640.0;;Sim
Apartamento;Madureira;2;0;0;70;700.0;1.0;;701.0;;Não
Apartamento;Recreio dos Bandeirantes;3;3;3;178;2700.0;690.0;5000.0;3390.0;45680.0;Sim
Apartamento;Copacabana;2;0;0;56;2600.0;760.0;80.0;3360.0;40400.0;Não
Conjunto Comercial/Sala;Vila Isabel;0;0;0;33;800.0;600.0;;1400.0;;Não
Apartamento;Leblon;2;0;1;60;5250.0;;;;;Sim
Conjunto Comercial/Sala;Barra da Tijuca;0;1;0;54;3800.0;850.0;;4650.0;;Não
Box/Garagem;Centro;0;0;0;9;100.0;446.0;;546.0;;Não
Conjunto Comercial/Sala;Centro;0;0;0;800;15000.0;6000.0;63.0;21000.0;252063.0;Não
Apartamento;Ipanema;2;0;1;75;5400.0;476.0;120.0;5876.0;70632.0;Sim
Apartamento;Gardênia Azul;2;1;0;50;1700.0;470.0;;2170.0;;Não
Apartamento;Barra da Tijuca;4;3;2;224;7600.0;2237.0;768.0;9837.0;118812.0;Sim
Apartamento;Copacabana;3;0;1;115;2900.0;1900.0;190.0;4800.0;57790.0;Sim
Apartamento;Barra da Tijuca;5;5;3;569;17000.0;2500.0;;19500.0;;Sim
Quitinete;Copacabana;1;0;0;28;1000.0;387.0;24.0;1387.0;16668.0;Não
Apartamento;Ipanema;3;2;1;160;12000.0;3500.0;900.0;15500.0;186900.0;Sim
Apartamento;Copacabana;1;0;0;40;2100.0;400.0;;2500.0;;Não
Conjunto Comercial/Sala;Barra da Tijuca;0;0;0;179;11635.0;;;;;Não
Apartamento;Ipanema;3;1;1;130;3500.0;1131.0;;4631.0;;Sim
Apartamento;Ipanema;3;1;1;90;6500.0;1700.0;230.0;8200.0;98630.0;Sim
Apartamento;Recreio dos Bandeirantes;2;1;1;100;2800.0;899.0;250.0;3699.0;44638.0;Sim
Apartamento;Ipanema;3;1;1;140;8200.0;2900.0;;11100.0;;Sim
Casa de Condomínio;Barra da Tijuca;5;5;4;900;12000.0;1500.0;25000.0;13500.0;187000.0;Sim
Apartamento;Pavuna;2;0;0;54;850.0;;;;;Não
Apartamento;Barra da Tijuca;4;4;4;336;13000.0;3700.0;800.0;16700.0;201200.0;Sim
Conjunto Comercial/Sala;Centro;0;0;0;270;10500.0;2500.0;761.0;13000.0;156761.0;Não
Apartamento;Recreio dos Bandeirantes;3;1;1;88;2100.0;1050.0;180.0;3150.0;37980.0;Sim
Quitinete;Botafogo;1;0;0;28;950.0;290.0;27.0;1240.0;14907.0;Não
Conjunto Comercial/Sala;Centro;0;0;0;30;700.0;867.0;94.0;1567.0;18898.0;Não
Apartamento;Engenho Novo;1;1;0;62;650.0;612.0;;1262.0;;Não
Apartamento;Barra da Tijuca;4;3;4;340;11000.0;3800.0;750.0;14800.0;178350.0;Sim
Apartamento;Laranjeiras;3;1;1;230;4000.0;1480.0;42.0;5480.0;65802.0;Sim
Conjunto Comercial/Sala;Barra da Tijuca;0;1;0;35;1300.0;1300.0;;2600.0;;Não
Apartamento;Copacabana;3;1;0;120;4000.0;1252.0;240.0;5252.0;63264.0;Não
Apartamento;Irajá;2;0;0;79;1300.0;;;;;Não
Apartamento;Barra da Tijuca;2;1;1;96;3200.0;1600.0;160.0;4800.0;57760.0;Sim
Apartamento;Flamengo;4;1;2;220;5200.0;1748.0;385.0;6948.0;83761.0;Sim
Galpão/Depósito/Armazém;Penha;0;0;0;400;3000.0;;;;;Não
Apartamento;Barra da Tijuca;2;1;1;65;1800.0;1323.0;233.0;3123.0;37709.0;Sim
Apartamento;Leblon;3;1;1;150;5000.0;1000.0;34.0;6000.0;72034.0;Sim
Casa;Tijuca;4;5;0;274;19000.0;;;;;Não
Apartamento;Flamengo;3;1;0;85;2500.0;950.0;154.0;3450.0;41554.0;Não
Apartamento;Freguesia (Jacarepaguá);2;1;1;70;1600.0;650.0;111.0;2250.0;27111.0;Sim
Conjunto Comercial/Sala;Freguesia (Jacarepaguá);0;1;0;25;1200.0;388.0;56.0;1588.0;19112.0;Não
Apartamento;Barra da Tijuca;3;2;1;137;3700.0;1500.0;220.0;5200.0;62620.0;Sim
Apartamento;Piedade;2;0;0;50;1400.0;;;;;Não
Galpão/Depósito/Armazém;Taquara;0;0;0;3100;29000.0;;8350.0;;;Não
Apartamento;Vaz Lobo;2;0;0;50;900.0;;;;;Não
Apartamento;Tijuca;1;0;0;50;1250.0;500.0;50.0;1750.0;21050.0;Não
Quitinete;Flamengo;1;0;0;18;890.0;300.0;;1190.0;;Não
Apartamento;Leblon;4;1;1;142;9000.0;1563.0;330.0;10563.0;127086.0;Sim
Conjunto Comercial/Sala;Barra da Tijuca;0;1;0;72;3000.0;1400.0;300.0;4400.0;53100.0;Não
Apartamento;Recreio dos Bandeirantes;1;1;1;58;1600.0;534.0;85.0;2134.0;25693.0;Sim
Apartamento;Lagoa;2;0;2;240;10000.0;4500.0;1100.0;14500.0;175100.0;Sim
Loja Shopping/ Ct Comercial;Recreio dos Bandeirantes;0;0;0;42;2500.0;;;;;Não
Apartamento;Barra da Tijuca;3;2;3;105;3000.0;1500.0;270.0;4500.0;54270.0;Sim
Apartamento;Recreio dos Bandeirantes;2;2;1;85;2400.0;500.0;;2900.0;;Sim
Casa;Copacabana;3;1;2;150;8000.0;;99.0;;;Sim
Apartamento;Copacabana;2;1;0;70;2700.0;870.0;177.0;3570.0;43017.0;Não
Conjunto Comercial/Sala;Copacabana;0;1;0;39;1500.0;550.0;155.0;2050.0;24755.0;Não
Apartamento;Taquara;2;1;1;56;1500.0;550.0;51.0;2050.0;24651.0;Sim
Apartamento;Marechal Hermes;1;0;0;50;800.0;200.0;;1000.0;;Não
Casa Comercial;Centro;0;0;0;370;11000.0;;83.0;;;Não
Apartamento;Leblon;2;0;0;70;2700.0;1070.0;;3770.0;;Não
Conjunto Comercial/Sala;São Cristóvão;0;1;0;26;800.0;400.0;;1200.0;;Não
Casa;Bonsucesso;2;1;0;70;3000.0;;150.0;;;Não
Conjunto Comercial/Sala;Freguesia (Jacarepaguá);0;1;0;27;1100.0;310.0;;1410.0;;Não
Loja/Salão;Vila da Penha;0;0;0;307;24000.0;;;;;Não
Loja/Salão;Barra da Tijuca;0;1;0;100;4000.0;1200.0;1300.0;5200.0;63700.0;Não
Conjunto Comercial/Sala;Copacabana;0;0;0;92;3200.0;1187.0;615.0;4387.0;53259.0;Não
Casa;Parque Anchieta;2;0;0;100;1000.0;;;;;Não
Conjunto Comercial/Sala;Barra da Tijuca;0;3;0;98;7000.0;2400.0;;9400.0;;Não
Apartamento;Barra da Tijuca;2;1;1;80;2000.0;1172.0;75.0;3172.0;38139.0;Sim
Apartamento;Leblon;4;1;1;200;15000.0;2600.0;712.0;17600.0;211912.0;Sim
Apartamento;Flamengo;1;0;0;35;1950.0;450.0;20.0;2400.0;28820.0;Não
Loja/Salão;Ramos;0;0;0;414;5000.0;;;;;Não
Casa;Jardim Botânico;4;1;4;356;20000.0;;1189.0;;;Sim
Apartamento;Ipanema;1;1;0;62;4800.0;1304.0;;6104.0;;Não
Casa de Condomínio;Vargem Grande;4;3;2;200;3600.0;600.0;;4200.0;;Sim
Apartamento;Vila Isabel;2;1;0;60;1050.0;647.0;20.0;1697.0;20384.0;Não
Apartamento;Jardim Botânico;3;1;1;120;5900.0;1160.0;277.0;7060.0;84997.0;Sim
Flat;Recreio dos Bandeirantes;2;1;2;50;1300.0;955.0;100.0;2255.0;27160.0;Sim
Apartamento;Jardim Botânico;4;3;1;170;6000.0;1695.0;465.0;7695.0;92805.0;Sim
Apartamento;Santa Teresa;1;1;0;40;1350.0;510.0;35.0;1860.0;22355.0;Não
Apartamento;Ipanema;4;1;1;150;12000.0;1682.0;;13682.0;;Sim
Galpão/Depósito/Armazém;Olaria;0;2;0;675;8000.0;;610.0;;;Não
Apartamento;Leme;2;1;1;80;2700.0;835.0;217.0;3535.0;42637.0;Sim
Apartamento;Jardim Botânico;2;1;1;71;2000.0;954.0;213.0;2954.0;35661.0;Sim
Apartamento;Barra da Tijuca;3;2;3;164;4500.0;1800.0;500.0;6300.0;76100.0;Sim
Apartamento;Pechincha;2;1;1;70;1200.0;650.0;55.0;1850.0;22255.0;Sim
Apartamento;Botafogo;2;1;1;103;5700.0;1340.0;348.0;7040.0;84828.0;Sim
Apartamento;Tijuca;2;1;1;70;1500.0;800.0;;2300.0;;Sim
Casa de Condomínio;Joá;3;7;3;320;7500.0;1900.0;950.0;9400.0;113750.0;Sim
Conjunto Comercial/Sala;Barra da Tijuca;0;0;0;70;2500.0;1992.0;764.0;4492.0;54668.0;Não
Apartamento;Lagoa;2;3;2;200;10000.0;3000.0;1028.0;13000.0;157028.0;Sim
Apartamento;Barra da Tijuca;3;2;3;120;2800.0;1280.0;360.0;4080.0;49320.0;Sim
Apartamento;Gávea;3;1;1;185;7500.0;1450.0;;8950.0;;Sim
Casa de Vila;Tijuca;2;1;2;90;2700.0;600.0;170.0;3300.0;39770.0;Sim
Apartamento;Ipanema;4;2;1;171;10000.0;1804.0;593.0;11804.0;142241.0;Sim
Casa Comercial;Botafogo;0;2;0;261;18000.0;;1442.0;;;Não
Apartamento;Barra da Tijuca;1;1;0;70;1650.0;1050.0;151.0;2700.0;32551.0;Não
Apartamento;Botafogo;1;1;0;65;2200.0;1382.0;110.0;3582.0;43094.0;Não
Apartamento;Barra da Tijuca;4;2;1;170;4300.0;1908.0;314.0;6208.0;74810.0;Sim
Apartamento;Barra da Tijuca;3;2;1;105;3600.0;1912.0;392.0;5512.0;66536.0;Sim
Conjunto Comercial/Sala;Centro;0;0;0;72;1800.0;1900.0;303.0;3700.0;44703.0;Não
Conjunto Comercial/Sala;Centro;0;0;0;80;300.0;;;;;Não
Apartamento;Recreio dos Bandeirantes;2;1;1;78;1500.0;770.0;108.0;2270.0;27348.0;Sim
Conjunto Comercial/Sala;Centro;0;0;0;31;700.0;465.0;84.0;1165.0;14064.0;Não
Apartamento;Copacabana;3;0;1;110;3000.0;1000.0;20.0;4000.0;48020.0;Sim
Apartamento;Ipanema;4;2;2;163;6000.0;2300.0;400.0;8300.0;100000.0;Sim
Conjunto Comercial/Sala;Centro;0;0;0;262;12000.0;4110.0;1366.0;16110.0;194686.0;Não
Apartamento;Recreio dos Bandeirantes;3;2;3;120;2300.0;800.0;3021.0;3100.0;40221.0;Sim
Conjunto Comercial/Sala;Botafogo;0;1;0;130;11000.0;2800.0;550.0;13800.0;166150.0;Não
